商品	订单号	订单状态	商品总价(元)	邮费(元)	店铺优惠折扣(元)	平台优惠折扣(元)	多多支付立减金额(元)	用户实付金额(元)	商家实收金额(元)	商品数量(件)	发货时间	确认收货时间	商品id	商品规格	样式ID	商家备注	售后状态	快递单号	快递公司	订单成交时间
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-057116004762609	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.0	"	"0.0	"	"4.05	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K双线数学本(5本)	"1599890404779	"	"	"	无售后或售后取消	"777218522319047	"	申通快递	2024/5/30 4:36
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-422733494692920	已发货，待收货	"13.5	"	"0.0	"	"1.35	"	"1.85	"	"0.0	"	"10.3	"	"12.15	"	"3	"	2024/5/30 10:19	"	"	"609881478958	"	16K双线数学本(5本)	"1599890404779	"	"	"	无售后或售后取消	"777218522319102	"	申通快递	2024/5/30 4:04
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-406459543332920	已发货，待收货	"13.5	"	"0.0	"	"1.35	"	"1.45	"	"0.0	"	"10.7	"	"12.15	"	"3	"	2024/5/30 10:19	"	"	"609881478958	"	16K书法本(田字格5本)	"1599890404774	"	"	"	无售后或售后取消	"777218522319102	"	申通快递	2024/5/30 3:55
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-283707983551189	未发货，退款成功	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K单线数学本(5本)	"1599890404780	"	"	"	退款成功	"	"	"	"	2024/5/30 2:41
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-605411131711189	待付款	"4.5	"	"0.0	"	"0.45	"	"0.32	"	"0.0	"	"3.73	"	"4.05	"	"1	"	"	"	"	"	"609881478958	"	16K单线数学本(5本)	"1599890404780	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-433612439871189	待付款	"4.5	"	"0.0	"	"0.45	"	"0.32	"	"0.0	"	"3.73	"	"4.05	"	"1	"	"	"	"	"	"609881478958	"	16K汉语拼音本(5本)	"1599890404784	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-261813748031189	待付款	"4.5	"	"0.0	"	"0.45	"	"0.32	"	"0.0	"	"3.73	"	"4.05	"	"1	"	"	"	"	"	"609881478958	"	16K生字本(5本)	"1599890404781	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-090015056191189	待付款	"4.5	"	"0.0	"	"0.45	"	"0.33	"	"0.0	"	"3.72	"	"4.05	"	"1	"	"	"	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-047065383231189	待付款	"4.5	"	"0.0	"	"0.45	"	"0.33	"	"0.0	"	"3.72	"	"4.05	"	"1	"	"	"	"	"	"609881478958	"	16K作文本300格(5本)	"1599890404771	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本学生汉语拼音本	240530-615681943741398	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.97	"	"0.0	"	"7.13	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"612517929146	"	英语本(5本)	"1596013749697	"	"	"	无售后或售后取消	"777218522319715	"	申通快递	2024/5/30 1:50
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-155954736710866	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"3.0	"	"0.0	"	"1.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K作文本300格(5本)	"1599890404771	"	"	"	无售后或售后取消	"777218522319278	"	申通快递	2024/5/30 0:32
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-377634210040936	待付款	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-148252925620499	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"777218522322533	"	申通快递	2024/5/29 23:01
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-115249026871859	待付款	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-530757721663887	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.49	"	"0.0	"	"3.56	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"777218522318900	"	申通快递	2024/5/29 22:44
